System Date,9/11/2024 10:37:41 AM
 
Report Type,System,System ID,System Name,Site ID,Site Name,System Type,System IP Address
System,Base System,20,WC500-3,1,JADEC,JADEC WC500-WC1000,192.168.1.3
System,Subsystem 1,15,XT2640-006,1,JADEC,Xitron XT2640,192.168.1.151
System,Subsystem 2,71,XT2640-042,1,JADEC,Xitron XT2640,192.168.1.150
 
Report Type,System ID,System Name,Serial Number,System Type,Manufacturer,Model,Calibration Date,Calibration Due,Cal Due (Days),Status
Additional Equipment,15,XT2640-006,2643AD1606002,Xitron XT2640,XITRON,XT2640,2024-03-01,2025-03-01,171,OK
Additional Equipment,71,XT2640-042,2643AD1605013,Xitron XT2640,XITRON,XT2640,2024-06-27,2025-06-27,289,OK
 
Report Type,System,Chassis Serial Number,Chassis Panel,Chassis Index,Collection Hardware ID,Module Serial Number,Manufacturer,Model,Slot,Calibration ID,Calibration Date,Calibration Due Date,Cal Due (Days),Status
Collection Hardware,WC500-3,29857707,DAQ 3A,2,16,29224145,NI,9214,1,22488,2024-08-27,2025-08-27,350,OK
Collection Hardware,WC500-3,28520385,DAQ 3B,4,20,29139286,NI,9214,1,22489,2024-08-27,2025-08-27,350,OK
Collection Hardware,WC500-3,29857707,DAQ 3A,2,37,29023916,NI,9208,3,19045,2023-11-29,2025-11-29,444,OK
Collection Hardware,WC500-3,28658522,DAQ 1,-1,83,28990386,NI,9265,6,22473,2024-08-26,2025-08-26,349,OK
Collection Hardware,WC500-3,28658522,DAQ 1,-1,85,28990585,NI,9265,5,22474,2024-08-26,2025-08-26,349,OK
Collection Hardware,WC500-3,28693621,DAQ 2,1,113,29023909,NI,9208,1,19047,2023-12-04,2025-12-04,449,OK
Collection Hardware,WC500-3,28520385,DAQ 3B,4,150,29072630,NI,9208,2,19048,2023-11-29,2025-11-29,444,OK
Collection Hardware,WC500-3,28658522,DAQ 1,-1,222,30064355,NI,9425,7,19039,2023-11-29,2025-11-29,444,OK
Collection Hardware,WC500-3,28658522,DAQ 1,-1,223,29196078,NI,9476,8,19040,2023-11-29,2025-11-29,444,OK
Collection Hardware,WC500-3,28693621,DAQ 2,1,225,29025704,NI,9425,5,19041,2023-11-29,2025-11-29,444,OK
Collection Hardware,WC500-3,28693621,DAQ 2,1,226,30064311,NI,9425,6,19042,2023-11-29,2025-11-29,444,OK
Collection Hardware,WC500-3,28693621,DAQ 2,1,227,28724240,NI,9476,7,19043,2023-11-29,2025-11-29,444,OK
Collection Hardware,WC500-3,28693621,DAQ 2,1,228,28724242,NI,9476,8,19044,2023-11-29,2025-11-29,444,OK
Collection Hardware,WC500-3,28658522,DAQ 1,-1,269,29033323,NI,9265,4,22475,2024-08-26,2025-08-26,349,OK
Collection Hardware,WC500-3,28658522,DAQ 1,-1,271,28798179,NI,9208,2,19050,2023-12-04,2025-12-04,449,OK
Collection Hardware,WC500-3,29857707,DAQ 3A,2,272,29072584,NI,9208,2,19046,2023-12-04,2025-12-04,449,OK
Collection Hardware,WC500-3,28658522,DAQ 1,-1,290,29171715,NI,9265,3,22476,2024-08-26,2025-08-26,349,OK
Collection Hardware,WC500-3,28520385,DAQ 3B,4,449,31102703,NI,9216,5,22481,2024-08-26,2025-02-26,168,OK
Collection Hardware,WC500-3,28520385,DAQ 3B,4,450,31102712,NI,9216,6,22482,2024-08-26,2025-02-26,168,OK
Collection Hardware,WC500-3,28520385,DAQ 3B,4,451,31102666,NI,9216,7,22483,2024-08-26,2025-02-26,168,OK
Collection Hardware,WC500-3,28520385,DAQ 3B,4,452,31102714,NI,9216,8,22484,2024-08-26,2025-02-26,168,OK
Collection Hardware,WC500-3,28520385,DAQ 3B,4,476,31015018,NI,9214,4,22490,2024-08-27,2025-08-27,350,OK
Collection Hardware,WC500-3,28693621,DAQ 2,1,528,30686191,NI,9216,2,22485,2024-08-26,2025-02-26,168,OK
Collection Hardware,WC500-3,28693621,DAQ 2,1,529,30686162,NI,9216,3,22486,2024-08-26,2025-02-26,168,OK
Collection Hardware,WC500-3,28658522,DAQ 1,-1,547,28932705,NI,9208,1,19051,2023-11-29,2025-11-29,444,OK
Collection Hardware,WC500-3,29857707,DAQ 3A,2,3589,34068437,NI,9216,7,22479,2024-08-27,2025-02-27,169,OK
Collection Hardware,WC500-3,29857707,DAQ 3A,2,3590,34044180,NI,9216,8,22480,2024-08-27,2025-02-27,169,OK
Collection Hardware,WC500-3,29857707,DAQ 3A,2,3591,34068422,NI,9216,5,22477,2024-08-27,2025-02-27,169,OK
Collection Hardware,WC500-3,29857707,DAQ 3A,2,3592,34003976,NI,9216,6,22478,2024-08-27,2025-02-27,169,OK
Collection Hardware,WC500-3,28520385,DAQ 3B,4,4612,34446689,NI,9208,3,19049,2023-11-29,2025-11-29,444,OK
Collection Hardware,WC500-3,29857707,DAQ 3A,2,5671,28003449,NI,9214,4,22487,2024-08-27,2025-08-27,350,OK
 
Report Type,System (Eng. Tag),Engineering Tag ID,Engineering Tag Name,System (HW Tag),Hardware Channel Tag ID,Hardware Channel Tag Name,Caption,Type,Active,Scan Enabled,Logging Enabled,HW Min,HW Max,HW Units,SW Units,Process Interface ID,Serial Number,Type,Manufacturer,Model,Calibration Date,Calibration Due Date,Cal Due (Days),Status
Process Interfaces,N/A,N/A,N/A,WC500-3,6581,CTRL-LOOP-01_OUTPUT_CW-P1,Control Loop 1 CW-P1 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,702,WC500-3_CW-P1,Pump,,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,WC500-3,6586,COND_WTR_E_TOTAL_FLOW,WC500-3,6584,COND_WTR_E_FLOW_FT-CW-1A,Cond Water Entering Flow 1A,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,1758,14653230_14653222,Flow,Rosemount,,2024-02-16,2026-02-16,523,OK
Process Interfaces,WC500-3,6586,COND_WTR_E_TOTAL_FLOW,WC500-3,6585,COND_WTR_E_FLOW_FT-CW-1B,Cond Water Entering Flow 1B,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,17705,14653344_14653309,Flow,Rosemount,,2024-02-16,2026-02-16,523,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,6595,CTRL-LOOP-03_AUTO_SP_TCV-CH-5B,Control Loop 3 TCV-CH-5B Auto Setpoint,AI,TRUE,TRUE,TRUE,-Inf,Inf,%,degF,1772,WC500-3_LOOP-03_AUTO-SP,Loop,,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,6597,CTRL-LOOP_OUTPUT_TCV-CH-5B,Control Loop TCV-CH-5B Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,691,WC500-3_TCV-CH-5B,Valve,FISHER,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,WC500-3,6598,CTRL-LOOP-03_PV_COND_WTR_E_TEMP,WC500-3,6604,COND_WTR_E_TEMP_TET-CW-1A,Cond Water Loop Temp 1A,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,705,M3047F23,RTD,Pyromation,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,6612,CTRL-LOOP-05_OUTPUT_FCV-CW-4,Control Loop 5 FCV-CW-4 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,687,WC500-3_FCV-CW-4,Valve,FISHER,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,6618,CTRL-LOOP-06_OUTPUT_TCV-CW-2,Control Loop 6 TCV-CW-2 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,692,WC500-3_TCV-CW-2,Valve,FISHER,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,6624,CTRL-LOOP-07_OUTPUT_EW-P1,Control Loop 7 EW-P1,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,703,WC500-3_EW-P1,Pump,,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,WC500-3,6629,EVAP_WTR_E_TOTAL_FLOW,WC500-3,6627,EVAP_WTR_E_FLOW_FT-EW-1A,EVAP Water Entering Flow 1A,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,1761,14653614_14653638,Flow,Rosemount,,2024-02-15,2026-02-15,522,OK
Process Interfaces,WC500-3,6629,EVAP_WTR_E_TOTAL_FLOW,WC500-3,6628,EVAP_WTR_E_FLOW_FT-EW-1B,EVAP Water Entering Flow 1B,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,17696,14653345_14653310,Flow,Rosemount,,2024-02-15,2026-02-15,522,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,6638,CTRL-LOOP-09_AUTO_SP_TCV-CW-3B,Control Loop 9 TCV-CW-3B Auto Setpoint,AI,TRUE,TRUE,TRUE,-Inf,Inf,%,degF,1773,WC500-3_LOOP-09_AUTO-SP,Loop,,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,6640,CTRL-LOOP_OUTPUT_TCV-CW-3B,Control Loop TCV-CW-3B Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,694,WC500-3_TCV-CW-3B,Valve,FISHER,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,WC500-3,6641,CTRL-LOOP-09_PV_EVAP_WTR_E_TEMP,WC500-3,6647,EVAP_WTR_E_TEMP_TET-EW-1A,Evap Water Loop Temp 1A,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,713,M4048423,RTD,Pyromation,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,6661,CTRL-LOOP-12_OUTPUT_FCV-EW-1,Control Loop 12 FCV-EW-1 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,688,WC500-3_FCV-EW-1,Valve,FISHER,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,6667,CTRL-LOOP-13_OUTPUT_FCV-EW-7,Control Loop 13 FCV-EW-7 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,689,WC500-3_FCV-EW-7,Valve,FISHER,,2018-01-01,2118-01-01,34079,OK
