System Date,10/10/2024 12:41:18 PM
 
Report Type,System,System ID,System Name,Site ID,Site Name,System Type,System IP Address
System,Base System,17,WC1000-2,1,JADEC,JADEC WC500-WC1000,192.168.1.3
System,Subsystem 1,34,XT2640-012,1,JADEC,Xitron XT2640,192.168.1.152
System,Subsystem 2,70,XT2640-041,1,JADEC,Xitron XT2640,192.168.1.151
System,Subsystem 3,75,XT2640-046,1,JADEC,Xitron XT2640,192.168.1.150
 
Report Type,System ID,System Name,Serial Number,System Type,Manufacturer,Model,Calibration Date,Calibration Due,Cal Due (Days),Status
Additional Equipment,34,XT2640-012,2643AD1712001,Xitron XT2640,XITRON,XT2640,2024-04-16,2025-04-16,188,OK
Additional Equipment,70,XT2640-041,2643AD1605005,Xitron XT2640,XITRON,XT2640,2024-03-28,2025-03-28,169,OK
Additional Equipment,75,XT2640-046,2643AD1606014,Xitron XT2640,XITRON,XT2640,2024-06-03,2025-06-03,236,OK
 
Report Type,System,Chassis Serial Number,Chassis Panel,Chassis Index,Collection Hardware ID,Module Serial Number,Manufacturer,Model,Slot,Calibration ID,Calibration Date,Calibration Due Date,Cal Due (Days),Status
Collection Hardware,WC1000-2,28624450,DAQ 3B,4,41,28798188,NI,9208,2,20297,2024-04-12,2026-04-12,549,OK
Collection Hardware,WC1000-2,29204382,DAQ 1,-1,42,29023897,NI,9208,1,20295,2024-04-11,2026-04-12,549,OK
Collection Hardware,WC1000-2,28536135,DAQ 3A,2,44,29023933,NI,9208,3,20294,2024-04-11,2026-04-12,549,OK
Collection Hardware,WC1000-2,28624450,DAQ 3B,4,48,29023862,NI,9208,3,20298,2024-04-12,2026-04-12,549,OK
Collection Hardware,WC1000-2,29204382,DAQ 1,-1,49,29072522,NI,9208,2,20296,2024-04-12,2026-04-12,549,OK
Collection Hardware,WC1000-2,28536135,DAQ 3A,2,55,29023911,NI,9208,2,20299,2024-04-12,2026-04-12,549,OK
Collection Hardware,WC1000-2,29204382,DAQ 1,-1,86,29026017,NI,9425,7,20301,2024-04-12,2026-04-12,549,OK
Collection Hardware,WC1000-2,29204382,DAQ 1,-1,87,28724243,NI,9476,8,20224,2024-03-27,2026-03-27,533,OK
Collection Hardware,WC1000-2,28536190,DAQ 2,1,89,29026042,NI,9425,5,20303,2024-04-12,2026-04-12,549,OK
Collection Hardware,WC1000-2,28536190,DAQ 2,1,90,29025563,NI,9425,6,20304,2024-04-12,2026-04-12,549,OK
Collection Hardware,WC1000-2,28536190,DAQ 2,1,91,28668964,NI,9476,7,20305,2024-04-12,2026-04-12,549,OK
Collection Hardware,WC1000-2,28536190,DAQ 2,1,92,29788386,NI,9476,8,20306,2024-04-12,2026-04-12,549,OK
Collection Hardware,WC1000-2,28624450,DAQ 3B,4,115,29055833,NI,9214,4,20290,2024-04-11,2025-04-11,183,OK
Collection Hardware,WC1000-2,28624450,DAQ 3B,4,410,30652526,NI,9216,5,22556,2024-10-03,2025-04-03,175,OK
Collection Hardware,WC1000-2,28624450,DAQ 3B,4,411,30686174,NI,9216,6,22557,2024-10-03,2025-04-03,175,OK
Collection Hardware,WC1000-2,28624450,DAQ 3B,4,412,30686176,NI,9216,7,22558,2024-10-03,2025-04-03,175,OK
Collection Hardware,WC1000-2,28624450,DAQ 3B,4,413,30652523,NI,9216,8,22559,2024-10-03,2025-04-03,175,OK
Collection Hardware,WC1000-2,28536135,DAQ 3A,2,425,30652536,NI,9216,5,22554,2024-10-02,2025-04-02,174,OK
Collection Hardware,WC1000-2,28536135,DAQ 3A,2,426,30652522,NI,9216,6,22555,2024-10-02,2025-04-02,174,OK
Collection Hardware,WC1000-2,28536135,DAQ 3A,2,427,30652546,NI,9216,7,22553,2024-10-02,2025-04-02,174,OK
Collection Hardware,WC1000-2,28536135,DAQ 3A,2,428,30652531,NI,9216,8,22552,2024-10-02,2025-04-02,174,OK
Collection Hardware,WC1000-2,28536190,DAQ 2,1,453,30916020,NI,9216,2,22550,2024-10-02,2025-04-02,174,OK
Collection Hardware,WC1000-2,28536190,DAQ 2,1,454,30943281,NI,9216,3,22551,2024-10-02,2025-04-02,174,OK
Collection Hardware,WC1000-2,28536190,DAQ 2,1,586,28724559,NI,9208,1,20300,2024-04-12,2026-04-12,549,OK
Collection Hardware,WC1000-2,29204382,DAQ 1,-1,4621,34777352,NI,9265,4,20289,2024-04-11,2025-04-11,183,OK
Collection Hardware,WC1000-2,29204382,DAQ 1,-1,4623,34777155,NI,9265,3,20288,2024-04-11,2025-04-11,183,OK
Collection Hardware,WC1000-2,29204382,DAQ 1,-1,4624,34777166,NI,9265,5,20286,2024-04-11,2025-04-11,183,OK
Collection Hardware,WC1000-2,28536135,DAQ 3A,2,4629,30279791,NI,9214,4,20292,2024-04-12,2025-04-12,184,OK
Collection Hardware,WC1000-2,28536135,DAQ 3A,2,4630,29139278,NI,9214,1,20293,2024-04-12,2025-04-12,184,OK
Collection Hardware,WC1000-2,28624450,DAQ 3B,4,4632,29891153,NI,9214,1,20291,2024-04-11,2025-04-11,183,OK
 
Report Type,System (Eng. Tag),Engineering Tag ID,Engineering Tag Name,System (HW Tag),Hardware Channel Tag ID,Hardware Channel Tag Name,Caption,Type,Active,Scan Enabled,Logging Enabled,HW Min,HW Max,HW Units,SW Units,Process Interface ID,Serial Number,Type,Manufacturer,Model,Calibration Date,Calibration Due Date,Cal Due (Days),Status
Process Interfaces,N/A,N/A,N/A,WC1000-2,3430,CTRL-LOOP-01_OUTPUT_CW-P1,Control Loop 1 CW-P1 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,347,WC1000-2_CW-P1,Pump,,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,WC1000-2,3435,COND_WTR_E_TOTAL_FLOW,WC1000-2,3433,COND_WTR_E_FLOW_FT-CW-1A,Cond Water Entering Flow 1A,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,17706,14652827_14652807,Flow,Rosemount,,2024-05-08,2026-05-08,575,OK
Process Interfaces,WC1000-2,3435,COND_WTR_E_TOTAL_FLOW,WC1000-2,3434,COND_WTR_E_FLOW_FT-CW-1B,Cond Water Entering Flow 1B,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,17708,14653597_14653526,Flow,Rosemount,,2024-05-08,2026-05-08,575,OK
Process Interfaces,N/A,N/A,N/A,WC1000-2,3444,CTRL-LOOP-03_AUTO_SP_TCV-CH-5B,Control Loop 3 TCV-CH-5B Auto Setpoint,AI,TRUE,TRUE,TRUE,-Inf,Inf,%,degF,1781,WC1000-2_LOOP-03_AUTO-SP,Loop,,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,N/A,N/A,N/A,WC1000-2,3446,CTRL-LOOP_OUTPUT_TCV-CH-5B,Control Loop TCV-CH-5B Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,342,WC1000-2_TCV-CH-5B,Valve,FISHER,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,WC1000-2,3447,CTRL-LOOP-03_PV_COND_WTR_E_TEMP,WC1000-2,3453,COND_WTR_E_TEMP_TET-CW-1A,Cond Water Loop Temp 1A,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,356,M1052A23,RTD,Pyromation,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,N/A,N/A,N/A,WC1000-2,3461,CTRL-LOOP-05_OUTPUT_FCV-CW-4,Control Loop 5 FCV-CW-4 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,338,WC1000-2_FCV-CW-4,Valve,FISHER,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,N/A,N/A,N/A,WC1000-2,3467,CTRL-LOOP-06_OUTPUT_TCV-CW-2,Control Loop 6 TCV-CW-2 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,343,WC1000-2_TCV-CW-2,Valve,FISHER,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,N/A,N/A,N/A,WC1000-2,3473,CTRL-LOOP-07_OUTPUT_EW-P1,Control Loop 7 EW-P1,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,348,WC1000-2_EW-P1,Pump,,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,WC1000-2,3478,EVAP_WTR_E_TOTAL_FLOW,WC1000-2,3476,EVAP_WTR_E_FLOW_FT-EW-1A,EVAP Water Entering Flow 1A,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,17709,14652826_14652806,Flow,Rosemount,,2024-05-09,2026-05-09,576,OK
Process Interfaces,WC1000-2,3478,EVAP_WTR_E_TOTAL_FLOW,WC1000-2,3477,EVAP_WTR_E_FLOW_FT-EW-1B,EVAP Water Entering Flow 1B,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,17710,14653348_14653313,Flow,Rosemount,,2024-05-09,2026-05-09,576,OK
Process Interfaces,N/A,N/A,N/A,WC1000-2,3487,CTRL-LOOP-09_AUTO_SP_TCV-CW-3B,Control Loop 9 TCV-CW-3B Auto Setpoint,AI,TRUE,TRUE,TRUE,-Inf,Inf,%,degF,1782,WC1000-2_LOOP-09_AUTO-SP,Loop,,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,N/A,N/A,N/A,WC1000-2,3489,CTRL-LOOP_OUTPUT_TCV-CW-3B,Control Loop TCV-CW-3B Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,345,WC1000-2_TCV-CW-3B,Valve,FISHER,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,WC1000-2,3490,CTRL-LOOP-09_PV_EVAP_WTR_E_TEMP,WC1000-2,3496,EVAP_WTR_E_TEMP_TET-EW-1A,Evap Water Loop Temp 1A,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,360,M1054023,RTD,Pyromation,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,N/A,N/A,N/A,WC1000-2,3510,CTRL-LOOP-12_OUTPUT_FCV-EW-1,Control Loop 12 FCV-EW-1 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,339,WC1000-2_FCV-EW-1,Valve,FISHER,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,N/A,N/A,N/A,WC1000-2,3516,CTRL-LOOP-13_OUTPUT_FCV-EW-7,Control Loop 13 FCV-EW-7 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,340,WC1000-2_FCV-EW-7,Valve,FISHER,,2018-01-01,2118-01-01,34050,OK
