System Date,11/25/2024 12:59:34 PM
 
Report Type,System,System ID,System Name,Site ID,Site Name,System Type,System IP Address
System,Base System,21,WC1200,1,JADEC,JADEC WC1200-WC2000,192.168.1.3
System,Subsystem 1,31,XT2640-011,1,JADEC,Xitron XT2640,192.168.1.150
 
Report Type,System ID,System Name,Serial Number,System Type,Manufacturer,Model,Calibration Date,Calibration Due,Cal Due (Days),Status
Additional Equipment,31,XT2640-011,2643AD1712002,Xitron XT2640,XITRON,XT2640,2024-03-01,2025-03-01,96,OK
 
Report Type,System,Chassis Serial Number,Chassis Panel,Chassis Index,Collection Hardware ID,Module Serial Number,Manufacturer,Model,Slot,Calibration ID,Calibration Date,Calibration Due Date,Cal Due (Days),Status
Collection Hardware,WC1200,28918155,DAQ 1,-1,23,29033251,NI,9265,3,22609,2024-11-20,2025-11-20,360,OK
Collection Hardware,WC1200,28918155,DAQ 1,-1,24,29171767,NI,9265,5,22608,2024-11-21,2025-11-21,361,OK
Collection Hardware,WC1200,28520354,DAQ 3,2,93,29072571,NI,9208,3,19076,2024-01-05,2026-01-05,406,OK
Collection Hardware,WC1200,28520474,DAQ 2,1,97,28724572,NI,9208,1,19078,2024-01-05,2026-01-05,406,OK
Collection Hardware,WC1200,28520354,DAQ 3,2,174,29139208,NI,9214,1,22612,2024-11-20,2025-11-20,360,OK
Collection Hardware,WC1200,28520354,DAQ 3,2,229,29072578,NI,9208,2,19077,2024-01-05,2026-01-05,406,OK
Collection Hardware,WC1200,28918155,DAQ 1,-1,233,29072519,NI,9208,2,19079,2024-01-05,2026-01-05,406,OK
Collection Hardware,WC1200,28918155,DAQ 1,-1,243,29025558,NI,9425,7,19081,2024-01-05,2026-01-05,406,OK
Collection Hardware,WC1200,28918155,DAQ 1,-1,244,28724347,NI,9476,8,19082,2024-01-05,2026-01-05,406,OK
Collection Hardware,WC1200,28520474,DAQ 2,1,246,29025749,NI,9425,5,19083,2024-01-05,2026-01-05,406,OK
Collection Hardware,WC1200,28520474,DAQ 2,1,247,29026021,NI,9425,6,19084,2024-01-05,2026-01-05,406,OK
Collection Hardware,WC1200,28520474,DAQ 2,1,248,28678324,NI,9476,7,19085,2024-01-05,2026-01-05,406,OK
Collection Hardware,WC1200,28520354,DAQ 3,2,274,29139271,NI,9214,4,22611,2024-11-20,2025-11-20,360,OK
Collection Hardware,WC1200,28918155,DAQ 1,-1,291,28990574,NI,9265,4,22610,2024-11-20,2025-11-20,360,OK
Collection Hardware,WC1200,28918155,DAQ 1,-1,293,28990402,NI,9265,6,22607,2024-11-21,2025-11-21,361,OK
Collection Hardware,WC1200,28520354,DAQ 3,2,399,30652543,NI,9216,7,22617,2024-11-21,2025-05-21,177,OK
Collection Hardware,WC1200,28520354,DAQ 3,2,400,30686180,NI,9216,8,22618,2024-11-21,2025-05-21,177,OK
Collection Hardware,WC1200,28520354,DAQ 3,2,401,30652533,NI,9216,5,22615,2024-11-21,2025-05-21,177,OK
Collection Hardware,WC1200,28520354,DAQ 3,2,402,30652517,NI,9216,6,22616,2024-11-21,2025-05-21,177,OK
Collection Hardware,WC1200,28918155,DAQ 1,-1,571,28932682,NI,9208,1,19080,2024-01-05,2026-01-05,406,OK
Collection Hardware,WC1200,28520474,DAQ 2,1,3607,34068428,NI,9216,2,22613,2024-11-20,2025-05-20,176,OK
Collection Hardware,WC1200,28520474,DAQ 2,1,3608,34068415,NI,9216,3,22614,2024-11-20,2025-05-20,176,OK
 
Report Type,System (Eng. Tag),Engineering Tag ID,Engineering Tag Name,System (HW Tag),Hardware Channel Tag ID,Hardware Channel Tag Name,Caption,Type,Active,Scan Enabled,Logging Enabled,HW Min,HW Max,HW Units,SW Units,Process Interface ID,Serial Number,Type,Manufacturer,Model,Calibration Date,Calibration Due Date,Cal Due (Days),Status
Process Interfaces,N/A,N/A,N/A,WC1200,7026,CTRL-LOOP-01_OUTPUT_CW-P1,Control Loop 1 CW-P1 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,1738,WC1200_CW-P1,Pump,,,2018-01-01,2118-01-01,34004,OK
Process Interfaces,WC1200,7031,COND_WTR_E_TOTAL_FLOW,WC1200,7029,COND_WTR_E_FLOW_FT-CW-1A,Cond Water Entering Flow 1A,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,1727,14653234_14653225,Flow,Rosemount,,2024-02-27,2026-02-27,459,OK
Process Interfaces,WC1200,7031,COND_WTR_E_TOTAL_FLOW,WC1200,7030,COND_WTR_E_FLOW_FT-CW-1B,Cond Water Entering Flow 1B,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,1730,14731924_14731857,Flow,Rosemount,,2024-02-27,2026-02-27,459,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7040,CTRL-LOOP-03_AUTO_SP_TCV-CH-5B,Control Loop 3 TCV-CH-5B Auto Setpoint,AI,TRUE,TRUE,TRUE,-Inf,Inf,%,degF,1775,WC1200_LOOP-03_AUTO-SP,Loop,,,2018-01-01,2118-01-01,34004,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7042,CTRL-LOOP_OUTPUT_TCV-CH-5B,Control Loop TCV-CH-5B Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,1721,WC1200_TCV-CH-5B,Valve,FISHER,,2018-01-01,2118-01-01,34004,OK
Process Interfaces,WC1200,7043,CTRL-LOOP-03_PV_COND_WTR_E_TEMP,WC1200,7049,COND_WTR_E_TEMP_TET-CW-1A,Cond Water Loop Temp 1A,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,1752,M304B323,RTD,Pyromation,,2018-01-01,2118-01-01,34004,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7057,CTRL-LOOP-05_OUTPUT_FCV-CW-4,Control Loop 5 FCV-CW-4 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,1717,WC1200_FCV-CW-4,Valve,FISHER,,2018-01-01,2118-01-01,34004,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7063,CTRL-LOOP-06_OUTPUT_TCV-CW-2,Control Loop 6 TCV-CW-2 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,1722,WC1200_TCV-CW-2,Valve,FISHER,,2018-01-01,2118-01-01,34004,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7069,CTRL-LOOP-07_OUTPUT_EW-P1,Control Loop 7 EW-P1,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,1739,WC1200_EW-P1,Pump,,,2018-01-01,2118-01-01,34004,OK
Process Interfaces,WC1200,7074,EVAP_WTR_E_TOTAL_FLOW,WC1200,7072,EVAP_WTR_E_FLOW_FT-EW-1A,EVAP Water Entering Flow 1A,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,1726,14653233_14653224,Flow,Rosemount,,2024-02-29,2026-02-28,460,OK
Process Interfaces,WC1200,7074,EVAP_WTR_E_TOTAL_FLOW,WC1200,7073,EVAP_WTR_E_FLOW_FT-EW-1B,EVAP Water Entering Flow 1B,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,1729,14653355_14653320,Flow,Rosemount,,2024-02-29,2026-02-28,460,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7083,CTRL-LOOP-09_AUTO_SP_TCV-CW-3B,Control Loop 9 TCV-CW-3B Auto Setpoint,AI,TRUE,TRUE,TRUE,-Inf,Inf,%,degF,1776,WC1200_LOOP-09_AUTO-SP,Loop,,,2018-01-01,2118-01-01,34004,OK
